[06/04/25 10:48:41] [INFO] received Windows console close event; shutting log-core down
[06/04/25 11:32:48] [INFO] received Windows console close event; shutting log-core down
[06/04/25 11:34:41] [INFO] received Windows console close event; shutting log-core down
[06/04/25 12:05:03] [INFO] received Windows console close event; shutting log-core down
[06/04/25 12:48:49] [INFO] received Windows console close event; shutting log-core down
[06/04/25 14:17:38] [INFO] received Windows console close event; shutting log-core down
[06/04/25 14:39:46] [INFO] received Windows console close event; shutting log-core down
[06/04/25 14:53:28] [INFO] received Windows console close event; shutting log-core down
[06/04/25 15:01:54] [INFO] received Windows console close event; shutting log-core down
[06/04/25 15:33:52] [INFO] received Windows console close event; shutting log-core down
[06/04/25 16:05:45] [INFO] received Windows console close event; shutting log-core down
[06/04/25 16:32:13] [INFO] received Windows console close event; shutting log-core down
[06/04/25 16:35:53] [INFO] received Windows console close event; shutting log-core down
[06/04/25 16:43:43] [INFO] received Windows console close event; shutting log-core down
[06/04/25 17:07:33] [INFO] received Windows console close event; shutting log-core down
[06/05/25 16:07:37] [INFO] received Windows console close event; shutting log-core down
[06/05/25 17:21:55] [INFO] received Windows console close event; shutting log-core down
[06/06/25 06:02:35] [INFO] received Windows console close event; shutting log-core down
[06/06/25 06:23:04] [INFO] received Windows console close event; shutting log-core down
[06/06/25 06:32:13] [INFO] received Windows console close event; shutting log-core down
[06/06/25 06:37:51] [INFO] received Windows console close event; shutting log-core down
[06/06/25 06:46:00] [INFO] received Windows console close event; shutting log-core down
[06/06/25 06:50:09] [INFO] received Windows console close event; shutting log-core down
[06/06/25 08:47:57] [INFO] received Windows console close event; shutting log-core down
[06/06/25 09:31:15] [INFO] received Windows console close event; shutting log-core down
[06/06/25 09:36:55] [INFO] received Windows console close event; shutting log-core down
[06/06/25 10:00:28] [INFO] received Windows console close event; shutting log-core down
[06/06/25 10:08:34] [INFO] received Windows console close event; shutting log-core down
[06/06/25 10:12:28] [INFO] received Windows console close event; shutting log-core down
[06/06/25 10:32:40] [INFO] received Windows console close event; shutting log-core down
[05/15/26 01:53:05] [INFO] received Windows console close event; shutting log-core down
[05/15/26 01:58:56] [INFO] received Windows console close event; shutting log-core down
[05/15/26 02:13:22] [INFO] received Windows console close event; shutting log-core down
[05/15/26 13:25:50] [INFO] received Windows console close event; shutting log-core down
[05/15/26 13:29:31] [INFO] received Windows console close event; shutting log-core down
[05/15/26 14:19:36] [INFO] received Windows console close event; shutting log-core down
[05/15/26 15:08:24] [INFO] received Windows console close event; shutting log-core down
[05/15/26 15:17:28] [INFO] received Windows console close event; shutting log-core down
[05/15/26 15:20:12] [INFO] received Windows console close event; shutting log-core down
[05/15/26 15:32:58] [INFO] received Windows console close event; shutting log-core down
[05/15/26 15:43:22] [INFO] received Windows console close event; shutting log-core down
[05/15/26 15:49:11] [INFO] received Windows console close event; shutting log-core down
[05/15/26 16:02:39] [INFO] received Windows console close event; shutting log-core down
[05/15/26 16:12:34] [INFO] received Windows console close event; shutting log-core down
[05/16/26 08:41:34] [INFO] received Windows console close event; shutting log-core down
[05/16/26 09:50:46] [INFO] received Windows console close event; shutting log-core down
[05/16/26 09:54:24] [INFO] received Windows console close event; shutting log-core down
[05/16/26 11:07:14] [INFO] received Windows console close event; shutting log-core down
[05/16/26 11:15:23] [INFO] received Windows console close event; shutting log-core down
[05/16/26 11:25:58] [INFO] received Windows console close event; shutting log-core down
[05/16/26 11:27:05] [INFO] received Windows console close event; shutting log-core down
[05/16/26 11:30:55] [INFO] received Windows console close event; shutting log-core down
[05/16/26 11:38:35] [INFO] received Windows console close event; shutting log-core down
[05/16/26 11:45:53] [INFO] received Windows console close event; shutting log-core down
[05/16/26 11:49:56] [INFO] received Windows console close event; shutting log-core down
[05/16/26 12:06:59] [INFO] received Windows console close event; shutting log-core down
[05/16/26 12:46:30] [INFO] received Windows console close event; shutting log-core down
[05/16/26 18:41:30] [INFO] received Windows console close event; shutting log-core down
